サイトID,ユーザID,最終アクセス,ブックID,オープン件数
sken-sh,913814,2015/04/09,WCLA120A3000_007,3
sken-sh,913814,2015/04/09,WCLC120A3000_007,3
sken-sh,913814,2015/04/09,WCLB120A3000_007,3
sken-sh,913814,2015/04/09,WCLF120A3000_007,3
sken-sh,913814,2015/04/09,SN,3
sken-sh,913814,2015/04/09,SN2,3
sken-sh,913814,2015/04/09,SN_EN,3
sken-sh,913814,2015/04/09,R_SN_EN,3
sken-sh,913814,2015/04/09,CKAA,3
sken-sh,913814,2015/04/09,WLSM0756-AU,3
sken-sh,913814,2015/04/09,WLOPT00006-EN-630-0001-JA,3
sken-sh,913814,2015/04/09,WDL9007-E,3
