サイトID,ユーザID,最終アクセス,ブックID,オープン件数
sken-sh,user1,2015/04/10,WCLA120A3000_007,10
sken-sh,user1,2015/04/09,4LE2-XYSS01_SH75X-3B,9
sken-sh,user2,2015/04/08,WCLA135B30BB_001,8
sken-sh,user3,2015/04/07,NINKA_SH_003,7
sken-sh,user1,2015/04/06,WCLC230A63AN,6
sken-sh,user4,2015/04/05,WCLC250A61BH_001,5
sken-sh,user5,2015/04/04,WLOPT2006SH_001,4
sken-sh,user5,2015/04/03,WCSM2106-00W,3
sken-sh,user5,2015/04/02,SN2,2
sken-sh,user3,2015/04/01,SN2,1
sken-sh,user2,2015/03/25,Valid_book,5
sken-sh,user2,2015/03/24,FOO,4
sken-sh,user1,2015/03/23,R_SN,3
sken-sh,user6,2015/03/22,R_SN,2
sken-sh,user4,2015/03/21,R_SN,1
sken-sh,user2,2015/02/28,WCLA210A57LR_003,2
sken-sh,user4,2015/02/28,WCLA210A57BH_003,1



