サイトID,ユーザID,最終アクセス,ブックID,オープン件数
sken-sh,user1,2014/01/01,book1,10
sken-sh,user1,2014/01/01,book2,10
sken-sh,user1,2014/01/01,book3,10
sken-sh,user1,2014/01/01,book4,1
sken-sh,user1,2014/01/01,book5,200
sken-sh,user1,2014/01/01,book6,500
sken-sh,user1,2014/01/01,book7,100
sken-sh,user1,2014/01/01,book8,700
sken-sh,user1,2014/01/01,book9,1000
sken-sh,user1,2014/01/01,book10,200
sken-sh,user1,2014/01/01,book11,100
sken-sh,user1,2014/01/01,book12,110
sken-sh,user1,2014/01/01,book13,120
sken-sh,user1,2014/01/01,book14,170
sken-sh,user1,2014/01/01,book15,180
sken-sh,user1,2014/01/01,book16,190
sken-sh,user1,2014/01/01,book17,100
sken-sh,user1,2014/01/01,book18,300
sken-sh,user1,2014/01/01,book19,310
sken-sh,user1,2014/01/01,book20,200
sken-sh,user1,2014/01/01,book21,30
sken-sh,user1,2014/01/01,book22,70
sken-sh,user1,2014/01/01,book23,120

sken-sh,user1,2014/02/01,book1,1000
sken-sh,user2,2014/02/01,book1,990
sken-sh,user3,2014/02/01,book1,880
sken-sh,user4,2014/02/01,book1,770
sken-sh,user5,2014/02/01,book1,660
sken-sh,user6,2014/02/01,book1,550
sken-sh,user7,2014/02/01,book1,440
sken-sh,user8,2014/02/01,book1,330
sken-sh,user9,2014/02/01,book1,220
sken-sh,user10,2014/02/01,book1,110
sken-sh,user11,2014/02/01,book1,100
sken-sh,user12,2014/02/01,book1,90
sken-sh,user13,2014/02/01,book1,80
sken-sh,user14,2014/02/01,book1,70
sken-sh,user15,2014/02/01,book1,60
sken-sh,user16,2014/02/01,book1,40
sken-sh,user17,2014/02/01,book1,30
sken-sh,user18,2014/02/01,book1,20
sken-sh,user19,2014/02/01,book1,20
sken-sh,user20,2014/02/01,book1,30
sken-sh,user21,2014/02/01,book1,40
sken-sh,user22,2014/02/01,book1,50
sken-sh,user23,2014/02/01,book1,10

